City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,sinop,41.7711,34.8709,10.3,75,72,6.16,TR,1733784331
225,al artawiyah,26.5053,45.3444,13.48,52,0,4.12,SA,1733784332
226,salinopolis,-0.6136,-47.3561,26.78,79,8,5.65,BR,1733784333
227,sinabang,2.4803,96.3801,25.82,84,100,1.84,ID,1733784334
228,puerto armuelles,8.2833,-82.8667,26.16,71,20,0.45,PA,1733784336
229,aasiaat,68.7098,-52.8699,-10.27,88,100,3.78,GL,1733784337
230,lebu,-37.6167,-73.65,12.67,73,0,7.56,CL,1733784193
231,bestobe,52.4994,73.0975,-22.11,96,8,4.48,KZ,1733784073
232,meulaboh,4.1363,96.1285,25.08,87,100,1.78,ID,1733784340
233,zhuanghe,39.7008,122.9911,-0.98,58,0,1.6,CN,1733784341
234,bayganin,48.6947,55.8742,-6.05,53,100,2.85,KZ,1733784342
235,tura,25.5198,90.2201,13.58,78,16,1.54,IN,1733784343
236,sampit,-2.5333,112.95,24.61,96,100,0.56,ID,1733784346
237,gadzhiyevo,69.2551,33.3362,1.17,92,100,13.75,RU,1733784347
238,saint-joseph,-21.3667,55.6167,22.21,82,29,4.36,RE,1733784348
239,popondetta,-8.7537,148.2534,31.72,55,82,0.9,PG,1733784349
240,jiwani,25.05,61.7417,20.54,36,2,3.5,PK,1733784350
241,yazman,29.1212,71.7446,12.63,19,5,3.37,PK,1733784351
242,midvagur,62.0511,-7.1939,8.46,100,100,3.6,FO,1733784353
243,sevastopol,44.6,33.5333,12.22,61,100,2.24,UA,1733784354
244,selfoss,63.9331,-20.9971,2.8,67,14,7.05,IS,1733784355
245,ntungamo,-0.8833,29.65,19.7,69,67,1.4,UG,1733784356
246,point pedro,9.8167,80.2333,26.36,79,100,4.83,LK,1733784357
247,port sudan,19.6175,37.2164,24.7,70,26,5.52,SD,1733784358
248,weno,7.4515,151.8468,30.97,74,75,3.6,FM,1733784359
249,zvishavane,-20.3267,30.0665,23.18,51,44,1.87,ZW,1733784360
250,keetmanshoop,-26.5833,18.1333,30.51,19,44,4.12,NA,1733784362
251,new norfolk,-42.7826,147.0587,13.84,78,97,3.01,AU,1733783868
252,xilin hot,43.9667,116.0333,-13.53,97,41,0.72,CN,1733784364
253,beltran,-27.8291,-64.061,22.81,55,24,2.53,AR,1733784365
254,zaozersk,69.4005,32.4476,0.62,94,100,13.44,RU,1733784366
255,nacala,-14.5428,40.6728,25.93,88,46,1.95,MZ,1733784367
256,illizi,26.4833,8.4667,15.1,19,30,1.83,DZ,1733784368
257,vila franca do campo,37.7167,-25.4333,18.27,99,100,3.28,PT,1733784369
258,nuriootpa,-34.4833,139.0,19.43,51,4,3.5,AU,1733784371
259,zeya,53.75,127.2667,-16.41,98,100,0.29,RU,1733783906
260,palatka,29.6486,-81.6376,21.16,76,100,0.61,US,1733784141
261,bairnsdale,-37.8333,147.6167,17.81,70,57,0.45,AU,1733784374
262,north bend,43.4065,-124.2243,11.2,61,0,3.06,US,1733784375
263,vadso,70.0744,29.7487,4.09,81,75,9.77,NO,1733783921
264,port lincoln,-34.7333,135.8667,17.11,67,29,5.99,AU,1733784375
265,prince edward,44.0001,-77.2495,-0.14,95,100,1.79,CA,1733784379
266,rio gallegos,-51.6226,-69.2181,16.03,41,0,4.12,AR,1733784380
267,poronaysk,49.2167,143.1167,-11.51,84,19,3.4,RU,1733784381
268,monaghan,54.25,-6.9667,0.69,94,19,2.15,IE,1733784382
269,salalah,17.0151,54.0924,23.05,60,0,1.54,OM,1733784383
270,orsa,54.5153,30.4053,-3.23,97,82,3.5,BY,1733784384
271,dour,50.3958,3.7779,4.78,88,99,5.99,BE,1733784385
272,al kharijah,25.4514,30.5464,13.93,38,0,3.42,EG,1733784386
273,jabor,5.921,169.6434,28.27,78,95,8.39,MH,1733784387
274,ta`u,-14.2336,-169.5144,27.34,72,100,4.58,AS,1733784389
275,jumla,29.2747,82.1838,-6.12,39,1,2.26,NP,1733784390
276,vorgashor,67.5833,63.95,-10.13,94,100,6.6,RU,1733784391
277,novo aripuana,-5.1206,-60.3797,26.89,76,98,0.37,BR,1733784392
278,pizarro,4.9533,-77.366,25.73,87,40,2.48,CO,1733784393
279,magadan,59.5667,150.8,-12.89,78,91,4.89,RU,1733784394
280,colonia,50.9333,6.95,6.08,87,40,3.6,DE,1733784368
281,la ronge,55.1001,-105.2842,-8.86,79,75,2.57,CA,1733784396
282,yaren,-0.5472,166.916,27.63,81,70,4.49,NR,1733784397
283,east london,-33.0153,27.9116,22.4,91,68,2.1,ZA,1733784399
284,manicore,-5.8092,-61.3003,26.46,80,94,1.34,BR,1733784400
